Site,Latitude,Longitude,Altitude,Month,Season,Species,pH,TDS,EC,Alcalinite,PO4,NO3,Profondeur,Vegetation,Algues,Nature_fond,Count,Taux_infestation,total
Mawe Hai,0.712831173368352,3.4065718134956104,7.301012843982557,Octobre,Pluvieuse,Lymnaea natalensis,2.2300144001592104,6.122054116811584,6.667592722498332,4.393213824064446,1.2873024119129401,0.8775499035577244,1.3428648031925547,Faible,Modérées,Sableux,0.6931471805599453,2.3702437414678603,4.48863636973214
Hôtel Karibu,0.6995779587107422,3.4072093733692315,7.289678778507267,Octobre,Pluvieuse,Ceratophallus natalensis,2.169053700369523,6.220192476716092,6.7977171737732,3.4965075614664802,0.21026092548319608,1.8881296930477487,0.8153648132841945,Forte,Modérées,Rocheux,2.8903717578961645,1.791759469228055,4.875197323201151
Plage du Peuple,0.6987658661412391,3.407702941213177,7.280972639540181,Septembre,Pluvieuse,Bellamya capillata,2.0719132752590443,6.191953407857386,6.7566998040621815,4.377014092850337,1.360463601085369,1.721515815839451,0.6729444732424258,Faible,Absentes,Sableux,1.3862943611198906,2.0014800002101243,4.2626798770413155
Mawe Hai,0.712831173368352,3.4065718134956104,7.298986227062477,Juin,Sèche,Biomphalaria pfeifferi,2.188295946591918,6.047608557726022,6.6637710617960755,4.12552017969055,0.43954442176102704,1.3895390912847796,0.5766133643039938,Faible,Absentes,Rocheux,2.9444389791664403,2.2082744135228043,4.532599493153256
Marché de Kituku,0.706056495634798,3.4067753292803804,7.297700575432264,Octobre,Pluvieuse,Gyraulus costulatus,2.2126603854660587,6.129268051255177,6.726113491092939,4.418840607796598,1.0195690813276568,0.24216155714997162,1.0681530811834012,Faible,Modérées,Vaseux,1.9459101490553132,2.2617630984737906,4.663439094112067
Mawe Hai,0.712831173368352,3.4065718134956104,7.305860032684009,Juin,Sèche,Ceratophallus natalensis,2.191653532286764,6.353674146545189,6.946495107298068,4.001863709427935,1.1381534632886423,0.6059539688575679,1.2178757094949273,Faible,Abondantes,Sableux,1.0986122886681098,1.791759469228055,4.532599493153256
Mawe Hai,0.712831173368352,3.4065718134956104,7.3003377612592875,Octobre,Pluvieuse,Biomphalaria pfeifferi,2.063058062429312,6.193180151008571,6.784343934066902,4.0943445622221,0.5833323145527387,0.953586516617852,0.5423242908253617,Faible,Modérées,Sableux,1.791759469228055,2.803360380906535,4.48863636973214
Le chalet,0.6966076860980273,3.407960195532211,7.294445231763968,Novembre,Pluvieuse,Lymnaea natalensis,2.1400661634962708,6.224954390476336,6.838619540147275,4.165113633110308,1.4090338480893803,0.6976370858327973,0.3001045924503381,Forte,Modérées,Rocheux,2.1972245773362196,2.128231705849268,3.58351893845611
Plage du Peuple,0.6987658661412391,3.407702941213177,7.285232350550133,Novembre,Pluvieuse,Bulinus tropicus,2.138889000323256,6.132095676847728,6.703433481908515,4.2626798770413155,1.0705556908855842,1.2293481106571642,0.9439058989071284,Moyenne,Abondantes,Rocheux,1.791759469228055,3.091042453358316,4.127134385045092
Le chalet,0.6966076860980273,3.407960195532211,7.290906609493717,Juillet,Sèche,Biomphalaria pfeifferi,2.2407096892759584,5.8377304471659395,6.430847873419607,3.919991175077323,0.41078426958576436,1.2322686734807833,0.5007752879124893,Moyenne,Modérées,Vaseux,2.4849066497880004,1.840549633397487,4.653960350157523
